Date,US,Japan,UK,China,Hong Kong,Canada,France
"Dec 31, 1969",100.000,100.000,100.000,NA,100.000,100.000,100.000
"Jan 30, 1970",92.886,98.486,99.383,NA,105.587,102.493,103.938
"Feb 27, 1970",98.130,99.768,94.182,NA,113.115,107.088,101.171
"Mar 31, 1970",98.729,103.893,96.612,NA,117.773,108.227,100.130
"Apr 30, 1970",90.200,91.389,86.858,NA,118.334,95.896,94.308
"May 29, 1970",85.125,89.027,82.614,NA,115.137,86.828,91.884
"Jun 30, 1970",81.667,90.730,86.466,NA,120.788,91.242,89.812
"Jul 31, 1970",87.823,90.997,89.798,NA,129.612,97.821,95.094
"Aug 31, 1970",91.445,90.094,89.704,NA,135.158,102.311,94.766
"Sep 30, 1970",94.574,89.131,95.070,NA,132.970,109.037,92.184
"Oct 30, 1970",93.910,90.358,94.962,NA,129.165,107.571,93.619
"Nov 30, 1970",99.080,87.839,88.586,NA,135.149,112.744,92.919
"Dec 31, 1970",104.830,88.621,94.235,NA,145.362,115.836,94.830
"Jan 29, 1971",109.712,93.552,94.634,NA,152.572,119.716,99.711
"Feb 26, 1971",110.885,97.927,93.033,NA,145.231,119.574,99.162
"Mar 31, 1971",115.446,106.087,101.160,NA,146.230,124.909,97.337
"Apr 30, 1971",119.987,111.659,112.496,NA,157.685,124.645,97.379
"May 31, 1971",115.381,110.941,116.771,NA,170.784,121.303,102.741
"Jun 30, 1971",116.229,121.637,118.905,NA,207.468,120.632,100.850
"Jul 30, 1971",112.147,122.295,127.017,NA,205.337,120.928,103.788
"Aug 31, 1971",116.828,106.676,128.899,NA,243.702,125.772,100.990
"Sep 30, 1971",115.434,109.670,129.170,NA,257.990,124.729,92.517
"Oct 29, 1971",111.371,103.662,125.963,NA,251.268,118.794,86.607
"Nov 30, 1971",111.897,110.533,129.396,NA,191.517,118.485,92.601
"Dec 31, 1971",118.976,120.039,139.603,NA,234.680,132.233,96.386
"Jan 31, 1972",121.455,127.367,147.454,NA,232.448,138.434,102.747
"Feb 29, 1972",124.948,136.577,156.631,NA,241.072,143.148,109.571
"Mar 31, 1972",126.991,143.362,157.251,NA,253.053,143.490,123.221
"Apr 28, 1972",127.288,151.555,162.391,NA,283.063,144.268,126.640
"May 31, 1972",127.239,164.562,159.362,NA,308.303,152.174,134.174
"Jun 30, 1972",125.054,169.094,144.851,NA,324.697,155.318,129.073
"Jul 31, 1972",124.441,183.603,153.165,NA,353.671,154.899,137.926
"Aug 31, 1972",129.073,188.186,154.264,NA,325.922,165.655,139.114
"Sep 29, 1972",129.375,196.808,137.493,NA,355.849,164.794,137.283
"Oct 31, 1972",131.162,203.127,137.254,NA,457.128,161.460,131.781
"Nov 30, 1972",136.315,238.671,147.078,NA,481.407,169.105,123.151
"Dec 29, 1972",138.685,260.554,145.080,NA,616.171,176.136,120.388
"Jan 31, 1973",135.496,264.619,135.967,NA,720.907,175.909,128.956
"Feb 28, 1973",129.271,251.025,138.001,NA,"1,354.275",172.243,146.231
"Mar 30, 1973",127.862,253.702,138.007,NA,"1,069.798",172.697,154.641
"Apr 30, 1973",123.065,225.680,139.794,NA,618.827,165.355,165.286
"May 31, 1973",121.224,231.102,144.328,NA,631.768,158.983,170.304
"Jun 29, 1973",121.493,234.944,143.828,NA,536.040,162.352,177.086
"Jul 31, 1973",126.387,247.983,133.414,NA,593.188,171.435,166.554
"Aug 31, 1973",122.291,238.223,126.191,NA,509.086,171.090,153.762
"Sep 28, 1973",126.776,225.705,128.342,NA,457.153,176.880,157.477
"Oct 31, 1973",127.435,224.583,133.073,NA,527.766,190.083,160.300
"Nov 30, 1973",114.036,204.377,113.411,NA,447.960,171.856,131.585
"Dec 31, 1973",116.157,193.190,107.374,NA,375.096,170.623,124.956
"Jan 31, 1974",114.282,205.663,103.003,NA,396.302,176.110,125.183
"Feb 28, 1974",114.270,205.444,110.319,NA,337.266,183.034,131.975
"Mar 29, 1974",111.590,199.912,92.803,NA,298.827,178.880,123.558
"Apr 30, 1974",107.411,206.361,100.459,NA,268.995,166.256,118.227
"May 31, 1974",104.200,215.327,90.432,NA,355.050,153.484,113.146
"Jun 28, 1974",102.561,209.656,82.011,NA,354.567,148.290,104.430
"Jul 31, 1974",94.530,198.443,76.970,NA,298.679,150.805,108.371
"Aug 30, 1974",86.081,179.381,65.925,NA,231.594,136.095,95.295
"Sep 30, 1974",76.191,177.842,58.385,NA,189.977,122.336,80.721
"Oct 31, 1974",89.746,164.743,60.741,NA,203.043,135.834,87.863
"Nov 29, 1974",85.702,181.881,51.630,NA,162.309,124.259,90.902
"Dec 31, 1974",84.012,175.008,53.011,NA,162.127,125.190,96.744
"Jan 31, 1975",94.945,182.255,82.917,NA,218.312,144.779,122.701
"Feb 28, 1975",100.942,201.029,105.234,NA,250.029,148.819,125.727
"Mar 31, 1975",103.442,210.244,96.691,NA,264.567,144.666,135.401
"Apr 30, 1975",108.144,210.690,111.863,NA,299.358,146.933,147.987
"May 30, 1975",113.121,209.013,115.791,NA,297.460,150.099,144.591
"Jun 30, 1975",118.595,215.436,97.902,NA,298.734,153.947,135.827
"Jul 31, 1975",110.687,204.781,93.640,NA,280.037,152.762,136.897
"Aug 29, 1975",108.301,196.266,105.995,NA,283.303,151.522,136.509
"Sep 30, 1975",104.554,186.988,104.728,NA,282.299,144.206,126.188
"Oct 31, 1975",111.787,206.224,111.038,NA,289.599,138.041,135.679
"Nov 28, 1975",115.207,209.100,109.175,NA,308.410,149.255,141.817
"Dec 31, 1975",114.104,212.898,114.514,NA,342.399,144.240,140.459
"Jan 30, 1976",127.461,225.155,125.940,NA,411.179,159.993,142.995
"Feb 27, 1976",126.193,225.688,122.030,NA,440.020,168.746,149.885
"Mar 31, 1976",130.651,223.631,114.880,NA,459.787,166.716,139.416
"Apr 30, 1976",129.331,224.964,115.111,NA,429.894,169.767,132.953
"May 31, 1976",127.993,226.799,103.261,NA,408.342,171.032,131.491
"Jun 30, 1976",133.733,235.737,103.561,NA,420.533,170.098,128.465
"Jul 30, 1976",133.060,228.826,100.366,NA,411.298,167.831,118.116
"Aug 31, 1976",132.995,233.170,95.575,NA,423.216,166.473,117.883
"Sep 30, 1976",136.431,233.284,84.822,NA,420.364,164.594,110.572
"Oct 29, 1976",133.951,226.431,73.848,NA,401.431,158.749,102.737
"Nov 30, 1976",133.468,225.732,81.650,NA,422.206,139.042,99.374
"Dec 31, 1976",140.630,257.109,100.155,NA,482.315,158.418,112.159
"Jan 31, 1977",133.864,245.699,109.900,NA,466.990,153.869,110.165
"Feb 28, 1977",131.223,253.321,112.703,NA,457.792,152.727,105.449
"Mar 31, 1977",129.807,246.344,116.615,NA,444.980,154.021,94.955
"Apr 29, 1977",130.303,250.702,120.795,NA,469.515,150.660,93.268
"May 31, 1977",127.953,249.304,124.069,NA,456.781,148.055,98.370
"Jun 30, 1977",134.267,249.141,128.119,NA,461.306,154.383,105.511
"Jul 29, 1977",132.697,245.983,126.350,NA,440.803,153.908,103.217
"Aug 31, 1977",130.304,260.116,141.599,NA,451.911,147.619,111.115
"Sep 30, 1977",130.472,260.080,153.669,NA,439.302,148.458,118.130
"Oct 31, 1977",125.160,251.593,156.462,NA,436.273,138.389,123.828
"Nov 30, 1977",128.508,247.321,148.456,NA,439.579,146.589,118.527
"Dec 30, 1977",129.353,244.235,158.575,NA,427.980,155.357,118.897
"Jan 31, 1978",121.914,256.203,154.567,NA,430.065,144.160,111.938
"Feb 28, 1978",119.291,263.090,146.408,NA,436.565,143.921,114.399
"Mar 31, 1978",122.298,277.257,150.543,NA,478.296,150.507,144.733
"Apr 28, 1978",133.960,276.765,150.445,NA,480.457,153.418,152.256
"May 31, 1978",134.608,277.523,156.963,NA,489.497,162.204,161.030
"Jun 30, 1978",132.576,279.637,155.392,NA,595.585,161.331,159.601
"Jul 31, 1978",140.702,286.774,171.702,NA,626.036,170.436,183.507
"Aug 31, 1978",144.507,282.881,176.685,NA,733.138,173.901,179.292
"Sep 29, 1978",143.978,287.778,179.285,NA,685.257,180.150,206.699
"Oct 31, 1978",131.816,289.473,184.502,NA,719.078,172.071,213.455
"Nov 30, 1978",134.563,294.334,175.954,NA,514.673,182.142,189.815
"Dec 29, 1978",137.066,303.515,181.875,NA,507.410,187.392,206.188
"Jan 31, 1979",143.397,312.838,181.073,NA,567.495,191.860,200.611
"Feb 28, 1979",138.508,302.754,196.983,NA,544.374,196.521,185.881
"Mar 30, 1979",146.444,302.898,227.158,NA,542.832,216.473,198.509
"Apr 30, 1979",146.503,310.458,238.616,NA,540.958,222.574,208.225
"May 31, 1979",143.722,312.703,222.190,NA,560.921,228.583,195.067
"Jun 29, 1979",149.302,311.643,223.621,NA,535.840,244.608,224.722
"Jul 31, 1979",151.002,309.975,225.974,NA,598.544,233.169,225.143
"Aug 31, 1979",158.520,315.818,232.025,NA,589.661,257.014,242.109
"Sep 28, 1979",158.296,326.651,236.697,NA,709.105,273.815,280.587
"Oct 31, 1979",148.176,320.890,212.538,NA,702.733,245.620,248.024
"Nov 30, 1979",154.339,322.804,222.252,NA,795.435,267.619,266.630
"Dec 31, 1979",156.871,329.577,222.375,NA,933.247,285.096,265.638
"Jan 31, 1980",166.343,335.656,246.605,NA,980.542,326.910,284.458
"Feb 29, 1980",164.679,337.824,261.262,NA,976.691,370.653,281.649
"Mar 31, 1980",150.127,328.011,227.408,NA,805.003,288.971,236.677
"Apr 30, 1980",156.657,338.851,246.245,NA,928.112,298.789,262.591
"May 30, 1980",164.213,337.579,248.950,NA,959.125,324.868,279.999
"Jun 30, 1980",169.553,341.106,280.889,NA,"1,131.437",348.641,283.691
"Jul 31, 1980",180.816,338.028,290.931,NA,"1,256.851",363.078,271.963
"Aug 29, 1980",182.070,347.001,298.447,NA,"1,338.060",369.217,278.412
"Sep 30, 1980",186.663,355.954,307.476,NA,"1,316.483",367.060,277.904
"Oct 31, 1980",191.383,366.380,334.848,NA,"1,636.950",356.461,286.561
"Nov 28, 1980",211.350,362.623,329.137,NA,"1,563.273",370.904,281.022
"Dec 31, 1980",204.002,364.828,314.744,NA,"1,611.895",349.551,260.179
"Jan 30, 1981",196.434,376.200,313.342,NA,"1,684.343",346.515,231.178
"Feb 27, 1981",200.605,376.476,303.627,NA,"1,561.480",338.948,233.771
"Mar 31, 1981",207.305,403.655,308.237,NA,"1,433.263",365.138,244.168
"Apr 30, 1981",203.476,440.567,316.461,NA,"1,483.540",357.483,218.693
"May 29, 1981",202.915,446.980,291.442,NA,"1,737.541",370.481,167.990
"Jun 30, 1981",202.518,467.753,279.872,NA,"1,769.993",370.654,155.816
"Jul 31, 1981",204.017,476.683,270.240,NA,"1,663.066",345.834,167.720
"Aug 31, 1981",192.382,475.555,282.463,NA,"1,565.167",346.796,177.017
"Sep 30, 1981",183.347,435.648,232.150,NA,"1,136.300",296.532,183.319
"Oct 30, 1981",192.458,436.129,245.555,NA,"1,194.687",289.296,178.774
"Nov 30, 1981",200.892,438.357,293.288,NA,"1,406.874",327.682,191.605
"Dec 31, 1981",195.580,456.573,281.555,NA,"1,353.379",311.901,185.417
"Jan 29, 1982",193.369,466.346,295.252,NA,"1,338.441",284.711,195.027
"Feb 26, 1982",183.389,445.262,274.122,NA,"1,172.797",262.909,204.503
"Mar 31, 1982",182.399,420.905,278.929,NA,"1,092.957",247.406,190.430
"Apr 30, 1982",190.406,434.546,286.097,NA,"1,283.493",245.613,208.710
"May 31, 1982",184.098,433.625,295.727,NA,"1,402.994",240.828,206.944
"Jun 30, 1982",181.792,425.108,277.196,NA,"1,230.980",208.447,170.838
"Jul 30, 1982",178.554,413.375,287.323,NA,"1,146.508",222.188,166.666
"Aug 31, 1982",200.536,421.460,292.018,NA,999.368,262.130,171.059
"Sep 30, 1982",203.196,418.191,306.003,NA,864.950,258.961,165.069
"Oct 29, 1982",225.851,433.916,311.821,NA,683.065,288.539,165.945
"Nov 30, 1982",234.640,467.611,303.406,NA,648.245,292.974,173.056
"Dec 31, 1982",238.888,485.249,307.920,NA,751.925,319.721,177.860
"Jan 31, 1983",248.474,474.142,303.430,NA,839.121,329.770,184.255
"Feb 28, 1983",253.785,478.388,305.247,NA,960.446,341.995,192.034
"Mar 31, 1983",262.619,499.723,309.664,NA,917.882,350.752,198.744
"Apr 29, 1983",283.293,507.729,353.586,NA,916.287,387.492,206.629
"May 31, 1983",278.964,512.433,364.218,NA,800.047,397.167,209.837
"Jun 30, 1983",289.822,528.989,367.310,NA,848.288,405.784,206.432
"Jul 29, 1983",280.481,539.077,354.219,NA,929.244,408.172,204.811
"Aug 31, 1983",286.262,544.032,351.152,NA,804.439,410.313,211.147
"Sep 30, 1983",290.035,560.371,350.807,NA,590.384,416.146,222.025
"Oct 31, 1983",286.821,553.646,345.030,NA,711.589,392.105,221.635
"Nov 30, 1983",293.048,555.845,360.595,NA,704.423,426.518,230.899
"Dec 30, 1983",291.501,597.557,361.417,NA,730.528,426.654,236.883
"Jan 31, 1984",288.315,633.810,375.790,NA,930.307,406.415,250.027
"Feb 29, 1984",276.421,628.457,391.009,NA,895.998,402.347,256.093
"Mar 30, 1984",281.595,712.160,406.010,NA,862.658,390.410,260.416
"Apr 30, 1984",284.581,705.848,403.674,NA,882.283,380.347,275.142
"May 31, 1984",268.699,631.959,361.925,NA,794.284,364.188,265.346
"Jun 29, 1984",274.478,649.221,364.964,NA,782.371,357.469,258.296
"Jul 31, 1984",272.413,622.415,343.236,NA,699.193,347.012,230.935
"Aug 31, 1984",302.067,668.771,377.921,NA,820.705,397.838,255.562
"Sep 28, 1984",302.595,677.254,371.304,NA,889.066,394.322,253.237
"Oct 31, 1984",304.195,710.843,369.369,NA,901.428,387.353,257.669
"Nov 30, 1984",301.281,720.076,377.129,NA,"1,002.432",387.803,252.238
"Dec 31, 1984",308.921,759.177,382.094,NA,"1,073.815",394.268,249.012
"Jan 31, 1985",333.786,767.127,390.476,NA,"1,233.279",425.941,263.432
"Feb 28, 1985",337.785,805.363,369.881,NA,"1,242.182",408.307,256.559
"Mar 29, 1985",338.745,826.057,428.912,NA,"1,243.372",418.898,288.583
"Apr 30, 1985",338.042,798.520,439.544,NA,"1,371.399",421.277,295.692
"May 31, 1985",359.024,827.422,461.917,NA,"1,448.466",434.659,320.790
"Jun 28, 1985",364.338,852.813,446.570,NA,"1,434.244",432.275,311.676
"Jul 31, 1985",363.296,815.618,502.150,NA,"1,537.088",452.968,318.760
"Aug 30, 1985",360.048,837.764,529.009,NA,"1,508.728",448.156,333.034
"Sep 30, 1985",348.707,845.660,510.430,NA,"1,395.475",420.124,327.862
"Oct 31, 1985",364.583,850.648,565.439,NA,"1,534.576",427.743,357.046
"Nov 29, 1985",389.965,826.896,609.423,NA,"1,586.737",455.563,415.395
"Dec 31, 1985",410.105,870.150,584.666,NA,"1,628.853",457.350,456.223
"Jan 31, 1986",412.709,860.242,585.151,NA,"1,592.965",437.635,496.601
"Feb 28, 1986",443.997,898.085,654.977,NA,"1,606.694",442.956,586.371
"Mar 31, 1986",468.801,"1,078.145",713.805,NA,"1,555.815",482.787,644.150
"Apr 30, 1986",462.301,"1,055.509",755.828,NA,"1,762.478",491.844,724.604
"May 30, 1986",485.082,"1,089.925",693.909,NA,"1,721.420",498.207,627.367
"Jun 30, 1986",491.419,"1,129.637",749.578,NA,"1,677.579",488.763,664.403
"Jul 31, 1986",465.208,"1,200.310",684.963,NA,"1,809.851",466.191,738.912
"Aug 29, 1986",499.603,"1,314.236",727.960,NA,"1,876.593",485.388,817.851
"Sep 30, 1986",457.133,"1,346.694",666.922,NA,"2,031.524",482.026,755.555
"Oct 31, 1986",483.078,"1,237.853",680.634,NA,"2,289.358",492.634,754.940
"Nov 28, 1986",494.433,"1,305.923",705.347,NA,"2,374.491",497.939,811.885
"Dec 31, 1986",481.976,"1,383.352",742.241,NA,"2,542.770",506.676,817.276
"Jan 30, 1987",545.985,"1,547.688",826.657,NA,"2,565.783",578.326,906.371
"Feb 27, 1987",565.593,"1,567.883",926.810,NA,"2,917.566",606.454,925.850
"Mar 31, 1987",580.841,"1,659.734",973.467,NA,"2,778.108",663.601,982.031
"Apr 30, 1987",575.593,"1,849.368","1,038.508",NA,"2,685.874",646.563,988.737
"May 29, 1987",578.843,"1,887.424","1,097.332",NA,"3,016.682",643.554,933.862
